score,adsh,form,file_date,file_type,file_description,root_forms,ciks,display_names,_id
15.011346,0000827052-26-000042,10-Q,2026-04-28,10-Q,10-Q,10-Q,"0000827052,0000092103",EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (CIK 0000092103),0000827052-26-000042:eix-20260331.htm
15.004792,0000354707-24-000070,8-K,2024-11-08,EX-99,EX-99,8-K,"0000354707,0000046207",HAWAIIAN ELECTRIC INDUSTRIES INC  (HE)  (CIK 0000354707) | HAWAIIAN ELECTRIC CO INC  (CIK 0000046207),0000354707-24-000070:heiexhibit99-8xk11x08x24.htm
15.003657,0000827052-25-000081,8-K,2025-09-15,EX-99.1,EX-99.1,8-K,"0000827052,0000092103",EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (CIK 0000092103),0000827052-25-000081:eix-20250915xex99d1.htm
14.999104,0000827052-19-000134,8-K,2019-07-25,EX-99.2,"EIX Q2 2019 CONFERENCE CALL PREPARED REMARKS DATED JULY 25, 2019",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON CO  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-19-000134:a992preparedremarksofe.htm
14.989319,0000827052-22-000056,8-K,2022-07-29,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED JULY 29, 2022",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-22-000056:eix-20220729xex99d1.htm
14.988449,0000827052-20-000025,8-K,2020-02-27,EX-99.1,"EXHIBIT 99.1 EDISON INTERNATIONAL PRESS RELEASE FEBRUARY 27, 2020",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-20-000025:eix-sceexhibit99x1q420.htm
14.984996,0001918072-23-000015,10-D,2023-12-13,10-D,10-D,10-D,0001918072,PG&E Wildfire Recovery Funding LLC  (CIK 0001918072),0001918072-23-000015:pgewildfirerecoveryfunding.htm
14.984398,0001004980-20-000008,8-K,2020-02-18,EX-99.3,EX-99.3,8-K,"0001004980,0000075488","PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)  (CIK 0001004980) | PACIFIC GAS & ELECTRIC Co  (CIK 0000075488)",0001004980-20-000008:businessoutlookpresentat.htm
14.9820175,0001004980-22-000008,8-K,2022-02-10,EX-99.2,EX-99.2,8-K,"0001004980,0000075488","PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)  (CIK 0001004980) | PACIFIC GAS & ELECTRIC Co  (CIK 0000075488)",0001004980-22-000008:q421earningspresentation.htm
14.981771,0001004980-20-000009,10-K,2020-02-18,EX-10.22,EX-10.22,10-K,"0001004980,0000075488","PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)  (CIK 0001004980) | PACIFIC GAS & ELECTRIC Co  (CIK 0000075488)",0001004980-20-000009:exhibit1022-123119.htm
